5,2,9		"CUTSCENE
CONTEXT
WORLD"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The Shogun is not pleased to see our team in his tent and calls the guards.
2) The team knocks out the guards and the Shogun must listen to their story.
3) The team has Masaru explain his father’s betrayal. 
4) The Shogun is shocked, but quickly regains his control.
5) The Shogun sends the team to Noboru's castle, where they must kill him."
									
POST									The team enters the Shogun's tent together. The Shogun is not pleased to see them.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			将軍の隠れ天幕
vocs_over_over_	_n00	vocs_over_over_shoguncamp_post_n00				SHOGUN	"very short surprise
selfcontrol"	sitting, writing	うぬ、それで…お主は…。
vocs_over_over_	_n01	vocs_over_over_shoguncamp_post_n01				SHOGUN	"very short surprise
selfcontrol"	"stops writing,
looks up"	三十万の部下でも止められぬ…。
vocs_over_over_	_n02	vocs_over_over_shoguncamp_post_n02				GEISHA	very respectful	deep bow	上様…。
vocs_over_over_	_n03	vocs_over_over_shoguncamp_post_n03				SHOGUN	cold hard	rises	為すべきことをせい。我が息子を殺した者に言葉は無い。
vocs_over_over_	_n04	vocs_over_over_shoguncamp_post_n04				GEISHA	passionate	steps forward	龍之介様に手をかけたのは、決し我々ではございません。大代武源の死も、我々のせいではありません。真実を歪めていたのは、上様の弟君です。
vocs_over_over_	_n05	vocs_over_over_shoguncamp_post_n05				SHOGUN	cold hard	walks towards the intruders	そのような至極けしからぬ言いがかりを信じるはずなかろう。証明するものがあるのか？
vocs_over_over_	_n06	vocs_over_over_shoguncamp_post_n06				GEISHA	respectful		証言がございまする。
vocs_over_over_	_n07	vocs_over_over_shoguncamp_post_n07				BROGUNSON	in pain	Hayato dumps Masaru before the Shogun	あぁ！
vocs_over_over_	_n08	vocs_over_over_shoguncamp_post_n08				SHOGUN	cold hard		甥ではないか？これがお主のやり方か？
vocs_over_over_	_n09	vocs_over_over_shoguncamp_post_n09				NINJA	with contempt		この畜生が、あんたの息子をその手にかけたんだ。
vocs_over_over_	_n10	vocs_over_over_shoguncamp_post_n10				BROGUNSON	hastily	tries to save his hide by lying	嘘です、叔父様、嘘です！汚れた忍が刀で襲ったのを見たのです。こやつが、こやつが龍之介を殺した！ 
vocs_over_over_	_n11	vocs_over_over_shoguncamp_post_n11				TRAPPER	desperate		ちがう！これは嘘よ！
vocs_over_over_	_n12	vocs_over_over_shoguncamp_post_n12				SHOGUN	contemplating		…うーむ…続けろ、甥よ。
vocs_over_over_	_n13	vocs_over_over_shoguncamp_post_n13				BROGUNSON	slimy		こいつは武源先生も殺した。全てはあなたを欺くためです、叔父様。余を傷つけ、嘘をつけと脅された、だが、屈しはせぬ。
vocs_over_over_	_n14	vocs_over_over_shoguncamp_post_n14				SHOGUN	with authority		全て知っているのは現場を見たからということ、だな？
vocs_over_over_	_n15	vocs_over_over_shoguncamp_post_n15				BROGUNSON	startled		ち…違います…。
vocs_over_over_	_n16	vocs_over_over_shoguncamp_post_n16				SHOGUN	cold		なぜそこにいた？龍之介がどこにいたかどうやって知り得た？
vocs_over_over_	_n17	vocs_over_over_shoguncamp_post_n17				BROGUNSON	rising terror	breaks under Shogun's authority	叔父様！あなたはわかっていらっしゃらない…！
vocs_over_over_	_n18	vocs_over_over_shoguncamp_post_n18				SHOGUN	with authority	towers over Masaru	私に嘘はつけぬぞ、甥よ。答えろ、正直にな。 
vocs_over_over_	_n19	vocs_over_over_shoguncamp_post_n19				SHOGUN	with authority		誰が、この部屋の誰が、余の息子を殺したのだ？
vocs_over_over_	_n20	vocs_over_over_shoguncamp_post_n20				BROGUNSON	"terrified
cowardly"	breaks under Shogun's authority	お願いです、叔父様。余は父上の言う通りにしただけです。したくなかった、父上が、刀を用意し、仕向けたのです。悪いのは余では…。
vocs_over_over_	_n21	vocs_over_over_shoguncamp_post_n21				SHOGUN	cold hard anger	with finality	もういい！もう口を開くな。
vocs_over_over_	_n22	vocs_over_over_shoguncamp_post_n22				SHOGUN	heartbraking disappointment	turns away	昇…弟め…今まで…。
vocs_over_over_	_n23	vocs_over_over_shoguncamp_post_n23				GEISHA	respectful	steps forward	騙していたのです。
vocs_over_over_	_n24	vocs_over_over_shoguncamp_post_n24				SHOGUN	sees things clearly		気付くべきであった。戦いへの執着。平和な策を話すと、いつも反対した。
vocs_over_over_	_n25	vocs_over_over_shoguncamp_post_n25				SHOGUN	sees things clearly		弟は平和を欲していなかった。征服を求めていたのか。もし生まれたのが百年も前であれば、最強の将軍になっていたであろう。
vocs_over_over_	_n26	vocs_over_over_shoguncamp_post_n26				ALCHEMIST	deep		過去の闇は今をも曇らす。
vocs_over_over_	_n27	vocs_over_over_shoguncamp_post_n27				GEISHA	deep respect		失った者へ、私たちは復讐を望んでおります。
vocs_over_over_	_n28	vocs_over_over_shoguncamp_post_n28				GEISHA	deep respect	bows, the others follow	しかし、上様の指揮にお従い致します。武源様がかつてそうであったように。
vocs_over_over_	_n29	vocs_over_over_shoguncamp_post_n29				SHOGUN	contemplating	moves behind writing table again	武源…死してその忠誠を果たそうとするのか。
vocs_over_over_	_n30	vocs_over_over_shoguncamp_post_n30				SHOGUN	decisive		我が弟に名誉の死など有り得ぬ。死して忘却へ、歴史の片隅にのみ存在すべきだ。
vocs_over_over_	_n31	vocs_over_over_shoguncamp_post_n31				SHOGUN	decisive		本拠地へ乗り込め、駿府城にな。弟と対峙し、成すべき責務を果たすのだ！
vocs_over_over_	_n32	vocs_over_over_shoguncamp_post_n32				SHOGUN	decisive	sits down	戻ってきた時、そなたらの処遇を話そう。
vocs_over_over_	_n33	vocs_over_over_shoguncamp_post_n33				GEISHA	deep respect	the whole team bows	仰せのままに。上様。
vocs_over_over_	_n34	vocs_over_over_shoguncamp_post_n34				SHOGUN	decisive		では行け。一刻も無駄にはできぬ。
vocs_over_over_	_n35	vocs_over_over_shoguncamp_post_n35				SHOGUN	decisive		お前もだ、昇。
									
									
									
									
									
									
